UserID,Age,Occupation,Monthly_Income,Financial_Literacy_Level,Saves_Regularly,Uses_Fintech_Apps,Daily_Spending_Budget,Interested_in_Goal_Saving,Interested_in_Daily_Spend_Tracking,Current_Saving_Method,Fintech_Apps_Used,Pain_Points
U001,20,Student,5000,Low,No,Yes,150,Yes,Yes,None,GPay;PhonePe,"Spends without tracking, low savings"
U002,22,Student,7000,Medium,Yes,Yes,200,Yes,No,Bank FD,PhonePe;Paytm,"Hard to maintain saving habit"
U003,21,Intern,10000,Low,No,Yes,250,Yes,Yes,None,GPay;ETMoney,"No motivation to save"
U004,23,Working Professional,20000,High,Yes,Yes,300,Yes,Yes,Mutual Funds,Navi;CRED,"Too many apps, too complex"
U005,19,Student,4000,Low,No,No,100,Yes,Yes,None,None,"Needs basic saving planner"
U006,21,Student,6000,Medium,Yes,Yes,180,Yes,Yes,Bank FD,Walnut;Paytm,"Too manual to track expenses"
U007,22,Intern,9000,Medium,No,Yes,200,Yes,Yes,None,GPay;Jar,"Not consistent with spending"
U008,20,Student,4500,Low,No,No,120,Yes,Yes,None,None,"Needs reminders and nudges"
U009,23,Working Professional,25000,High,Yes,Yes,350,Yes,No,Stocks,Navi;ETMoney,"No quick overview of spend"
U010,21,Student,6500,Medium,Yes,Yes,150,Yes,Yes,Bank FD,PhonePe;Walnut,"No feedback after saving"
U011,20,Student,5000,Low,No,Yes,130,Yes,Yes,None,Gullak;Paytm,"Hard to build habit"
U012,24,Professional,30000,High,Yes,Yes,400,No,No,Mutual Funds,CRED;ETMoney,"Too professional, not for daily use"
U013,21,Student,7000,Medium,Yes,Yes,180,Yes,Yes,None,PhonePe;Navi,"No tracking of small spends"
U014,22,Intern,8500,Medium,Yes,Yes,200,Yes,Yes,Bank RD,Walnut;GPay,"Misses monthly savings target"
U015,19,Student,3000,Low,No,No,100,Yes,Yes,None,None,"Needs beginner-friendly tool"
U016,20,Student,5000,Low,No,Yes,150,Yes,Yes,None,GPay;Jar,"Overspends without knowing"
U017,23,Professional,27000,High,Yes,Yes,320,Yes,No,Mutual Funds,CRED;ETMoney,"Too many investment options"
U018,22,Intern,9000,Medium,Yes,Yes,200,Yes,Yes,Digital Wallet,PhonePe;GPay,"Lacks motivation to save"
U019,21,Student,6000,Medium,Yes,Yes,170,Yes,Yes,Bank RD,Navi;Paytm,"Wants gamified experience"
U020,20,Student,5500,Low,No,Yes,140,Yes,Yes,None,PhonePe;GPay,"Needs better spend overview"
U021,22,Intern,8000,Medium,Yes,Yes,190,Yes,Yes,Bank FD,ETMoney;Walnut,"Needs simplified tracking"
U022,19,Student,4000,Low,No,No,120,Yes,Yes,None,None,"Wants budgeting help"
U023,24,Professional,35000,High,Yes,Yes,450,No,No,Mutual Funds,Navi;CRED,"Too advanced features"
U024,20,Student,6000,Low,Yes,Yes,150,Yes,Yes,None,GPay;Gullak,"No insights or suggestions"
U025,21,Student,5500,Medium,Yes,Yes,160,Yes,Yes,Bank FD,PhonePe;Jar,"Too plain experience"
U026,22,Intern,9500,Medium,Yes,Yes,200,Yes,Yes,Bank RD,Navi;Walnut,"Needs habit formation"
U027,23,Professional,28000,High,Yes,Yes,330,No,Yes,Stocks,ETMoney;CRED,"Not flexible for students"
U028,20,Student,4500,Low,No,Yes,130,Yes,Yes,None,GPay;PhonePe,"Needs control and clarity"
U029,21,Student,5800,Medium,Yes,Yes,170,Yes,Yes,Bank RD,Jar;Walnut,"Too focused on investment"
U030,19,Student,3900,Low,No,No,110,Yes,Yes,None,None,"Needs daily motivation"
